id,fdc_id,nutrient_id,amount
2201916,319906,1321,0.013
2201900,319906,1316,8.56
2201897,319906,2009,0
2201918,319906,1323,0.007
2201922,319906,1312,0
2201937,319906,1405,0
2201939,319907,1009,8.2
2201940,319908,1007,1.99
2201942,319908,1004,18.2
2201943,319908,1051,56.8
2201941,319908,1002,1.28
2201944,319909,1177,51
2201945,319910,1170,0.34
2201946,319911,1103,0
2201954,319912,1095,1.45
2201948,319912,1089,2.7
2201947,319912,1098,0.376
2201949,319912,1090,73.1
2201953,319912,1093,428
2201955,319912,1087,51
2201950,319912,1101,1.15
2201952,319912,1092,317
2201951,319912,1091,184
2201956,319913,1166,0.14
2201957,319914,1167,1.09
2201958,319915,1079,5.7
2201959,319916,1165,0.17
2201960,319917,1175,0.15
2201964,319918,1123,258
2201963,319918,1107,12
2201961,319918,1120,3
2201965,319918,1122,0
2201962,319918,1108,0
2201970,319919,1127,2.38
2201966,319919,1125,0.35
2201969,319919,1126,11.9
2201972,319919,1109,1.56
2201967,319919,1128,0
2201968,319919,1129,0
2201971,319919,1130,0
2201973,319919,1131,0
2201974,319920,1162,0
2201984,319926,1260,0
2202007,319926,1265,1.71
2201981,319926,1299,0.003
2201979,319926,1304,0.005
2201987,319926,1335,0
2201976,319926,2014,0
2202002,319926,2019,0
2202004,319926,1323,0.008
2202008,319926,1404,0.742
2202006,319926,1315,4.87
2201986,319926,1262,0
2202014,319926,1300,0.012
2202001,319926,1272,0
2201990,319926,1303,0
2202012,319926,1301,0.044
2201995,319926,1405,0
2201988,319926,1263,0
2202013,319926,1314,0.015
2201975,319926,2012,0.046
2201998,319926,1312,0
2201991,319926,1276,0
2201978,319926,1414,0
2202016,319926,1321,0.011
2201983,319926,1259,0
2201977,319926,2009,0
2201982,319926,1311,0.003
2202003,319926,1271,0.006
2202009,319926,1266,0.741
2201993,319926,1406,0
2202015,319926,1306,0.012
2201985,319926,1261,0
2201999,319926,1411,0
2201996,319926,1334,0
2202000,319926,1280,0
2202011,319926,1273,0.052
2201989,319926,1333,0
2201994,319926,1305,0
2201980,319926,1313,0.004
2202005,319926,1316,8.3
2201992,319926,1264,0.009
2201997,319926,1278,0
2202010,319926,1267,0.072
2202017,319927,1009,8
2202021,319928,1051,57.3
2202020,319928,1004,18
2202018,319928,1007,2.02
2202019,319928,1002,1.26
2202022,319929,1177,53
2202030,319930,1101,1.21
2202028,319930,1089,2.33
2202026,319930,1087,46
2202024,319930,1093,406
2202029,319930,1090,70.4
2202031,319930,1091,181
2202027,319930,1098,0.396
2202023,319930,1095,1.45
2202025,319930,1092,315
2202032,319931,1166,0.12
2202033,319932,1167,1.03
2202035,319933,1013,0
2202036,319933,1011,0
2202038,319933,1010,0.37
2202034,319933,1014,0
2202039,319933,1075,0
2202037,319933,1012,0.3
2202040,319934,1079,5.4
2202041,319935,1165,0.16
2202042,319936,1175,0.13
2202045,319937,1129,0
2202049,319937,1109,1.49
2202046,319937,1126,11.7
2202048,319937,1130,0
2202044,319937,1128,0
2202047,319937,1127,2.47
2202043,319937,1125,0.36
2202050,319937,1131,0
2202051,319938,1162,0
2202068,319944,1323,0.008
2202062,319944,1267,0.074
2202074,319944,1259,0
2202090,319944,1272,0
2202086,319944,1333,0
2202077,319944,1262,0
2202080,319944,1305,0
